"x";"y";"srid","name";"place";"population"
17039837;-3548246;3857;"Boambee East";"town";-1
17046808;-3536815;3857;"Korora";"town";-1
16680205;-4394332;3857;"Bega";"town";-1
16696257;-4401323;3857;"Tathra";"town";-1
17054189;-3517878;3857;"Woolgoolga";"town";-1
16183202;-4609483;3857;"Tooradin";"town";-1
16246619;-4646911;3857;"Leongatha";"town";-1
16222361;-4669260;3857;"Inverloch";"town";-1
16207097;-4665149;3857;"Wonthaggi";"town";-1
16275117;-4671798;3857;"Foster";"town";-1
16327985;-4659159;3857;"Yarram";"town";-1
16525987;-4537654;3857;"Orbost";"town";-1
16299848;-4623994;3857;"Churchill";"town";-1
14260705;-3613052;3857;"Forrest";"town";-1
14639850;-3566208;3857;"Ooldea";"town";-1
13523872;-3604484;3857;"Boulder";"town";-1
16340003;-4576839;3857;"Heyfield";"town";-1
16283003;-4633445;3857;"Boolarra";"town";-1
16999932;-3547242;3857;"Dorrigo";"town";-1
17020425;-3561661;3857;"Bellingen";"town";-1
16891133;-3469905;3857;"Glen Innes";"town";-1
16095732;-4507169;3857;"Gisborne";"town";-1
16204641;-4404701;3857;"Euroa";"town";-1
16046325;-4486812;3857;"Daylesford";"town";-1
16351828;-4317298;3857;"Wodonga";"town";-1
16358761;-5056540;3857;"Exeter";"town";-1
16765848;-4051612;3857;"Picton";"town";-1
16179460;-4513706;3857;"Kinglake";"town";-1
16198784;-4530623;3857;"Healesville";"town";-1
16397998;-5309530;3857;"Kingston";"town";-1
15833781;-4633923;3857;"Port Fairy";"town";-1
15763311;-4628366;3857;"Portland";"town";-1
16155129;-4553767;3857;"Box Hill";"town";-1
15842588;-4173294;3857;"Ouyen";"town";-1
17005763;-3165039;3857;"Mount Glorious";"town";-1
17033733;-3567769;3857;"Urunga";"town";-1
17022798;-3594796;3857;"Macksville";"town";-1
16242619;-4471623;3857;"Eildon";"town";-1
16220449;-4465963;3857;"Alexandra";"town";-1
16188508;-4468784;3857;"Yea";"town";-1
16262455;-4446368;3857;"Mansfield";"town";-1
16221251;-4388642;3857;"Violet Town";"town";-1
16108298;-4427417;3857;"Heathcote";"town";-1
16165230;-4577646;3857;"Dandenong";"town";-1
17031042;-3586724;3857;"Nambucca Heads";"town";-1
17032042;-2988541;3857;"Tin Can Bay";"town";-1
17041870;-2987145;3857;"Rainbow Beach";"town";-1
16687888;-4423535;3857;"Merimbula";"town";-1
15798384;-4043276;3857;"Wentworth";"town";-1
12824904;-2882034;3857;"Gascoyne Junction";"town";-1
16162971;-4528341;3857;"Hurstbridge";"town";-1
16615021;-3966235;3857;"Blayney";"town";-1
16094890;-4534802;3857;"Melton";"town";-1
16361342;-4574518;3857;"Maffra";"town";-1
17061574;-3189381;3857;"Cleveland";"town";-1
17051431;-3179181;3857;"Wynnum";"town";-1
16516567;-3952393;3857;"Eugowra";"town";-1
16781373;-3975347;3857;"Richmond";"town";-1
16789274;-4037357;3857;"Campbelltown";"town";-1
12892422;-3795167;3857;"Kwinana";"town";-1
12882845;-3959853;3857;"Boyanup";"town";-1
12886696;-4026707;3857;"Nannup";"town";-1
12916919;-4088595;3857;"Pemberton";"town";-1
12911576;-3999878;3857;"Balingup";"town";-1
12928545;-4062441;3857;"Manjimup";"town";-1
12893039;-3972321;3857;"Donnybrook";"town";-1
12839708;-3981421;3857;"Busselton";"town";-1
15459575;-4157381;3857;"Woodside";"town";-1
12920634;-3857093;3857;"Dwellingup";"town";-1
17028570;-3201510;3857;"Forest Lake";"town";-1
16557725;-3933387;3857;"Cudal";"town";-1
17093803;-3278445;3857;"Chinderah";"town";-1
16602782;-4294458;3857;"Bredbo";"town";-1
17054394;-3213208;3857;"Beenleigh";"town";-1
16936603;-3858437;3857;"Nelson Bay";"town";-1
17045162;-3083498;3857;"Mooloolaba";"town";-1
17038109;-3088665;3857;"Sippy Downs";"town";-1
17037403;-3084520;3857;"Buderim";"town";-1
17026478;-3058060;3857;"Eumundi";"town";-1
17021932;-3050913;3857;"Cooroy";"town";-1
17041873;-3048345;3857;"Noosa Heads";"town";-1
17026614;-3134373;3857;"Caboolture";"town";-1
17029047;-3186263;3857;"Indooroopilly";"town";-1
17033160;-3562139;3857;"Raleigh";"town";-1
16296614;-4302007;3857;"Wahgunyah";"town";-1
16797512;-3785532;3857;"Aberdeen";"town";-1
17040960;-3193481;3857;"Upper Mount Gravatt";"town";-1
17035374;-3171824;3857;"Chermside";"town";-1
17046421;-3200830;3857;"Springwood";"town";-1
16412774;-5271764;3857;"Richmond";"town";-1
16822352;-3484612;3857;"Gilgai";"town";-1
16173588;-2699563;3857;"Barcaldine";"town";-1
16875390;-3897088;3857;"Toronto";"town";-1
16832791;-3497949;3857;"Tingha";"town";-1
16883933;-3531655;3857;"Guyra";"town";-1
16912846;-3365670;3857;"Wallangarra";"town";-1
16922894;-3382193;3857;"Tenterfield";"town";-1
16167990;-4643193;3857;"Cowes";"town";-1
16913196;-3331934;3857;"Stanthorpe";"town";-1
16674162;-3545601;3857;"Narrabri";"town";-1
16477323;-4115112;3857;"Cootamundra";"town";-1
16702861;-3594437;3857;"Boggabri";"town";-1
16725730;-3629592;3857;"Gunnedah";"town";-1
16674745;-3492726;3857;"Bellata";"town";-1
16675819;-3469484;3857;"Gurley";"town";-1
12898506;-3846546;3857;"Pinjarra";"town";-1
16930189;-3330562;3857;"Liston";"town";-1
16180556;-4545248;3857;"Lilydale";"town";-1
16426746;-5278988;3857;"Sorell";"town";-1
16635606;-3532402;3857;"Wee Waa";"town";-1
16735359;-4094717;3857;"Berrima";"town";-1
16739414;-4102707;3857;"Moss Vale";"town";-1
16054497;-4448377;3857;"Castlemaine";"town";-1
16576718;-4142698;3857;"Yass";"town";-1
16790294;-3459156;3857;"Delungra";"town";-1
16761578;-3486557;3857;"Bingara";"town";-1
16747144;-3631054;3857;"Carroll";"town";-1
16791845;-3623454;3857;"Attunga";"town";-1
16778278;-3599878;3857;"Manilla";"town";-1
17043467;-3186491;3857;"Carindale";"town";-1
17027085;-3105745;3857;"Beerwah";"town";-1
16145670;-4610466;3857;"Mornington";"town";-1
16765645;-3552357;3857;"Barraba";"town";-1
16762329;-3533521;3857;"Cobbadah";"town";-1
16747529;-3521388;3857;"Upper Horton";"town";-1
17072820;-3139281;3857;"Cowan Cowan";"town";-1
16544388;-4358187;3857;"Jindabyne";"town";-1
16377263;-5100576;3857;"Longford";"town";-1
16104295;-5019634;3857;"Arthur River";"town";-1
16647685;-3866948;3857;"Windeyer";"town";-1
16783391;-4154599;3857;"Culburra";"town";-1
15847917;-4620614;3857;"Koroit";"town";-1
16418880;-5165348;3857;"Ross";"town";-1
16767717;-4178132;3857;"Sanctuary Point";"town";-1
16764594;-4185149;3857;"Sussex Inlet";"town";-1
16762251;-4171873;3857;"Tomerong";"town";-1
16371547;-5278627;3857;"New Norfolk";"town";-1
16785559;-4056088;3857;"Appin";"town";-1
16762984;-4068931;3857;"Bargo";"town";-1
16744431;-4093662;3857;"Bowral";"town";-1
16405472;-5206306;3857;"Oatlands";"town";-1
16731288;-4117263;3857;"Bundanoon";"town";-1
16202583;-4572754;3857;"Gembrook";"town";-1
16613203;-4426753;3857;"Bombala";"town";-1
16733113;-4111484;3857;"Exeter";"town";-1
14787302;-1422492;3857;"";"town";-1
16190493;-4313434;3857;"Numurkah";"town";-1
16154366;-4631939;3857;"Balnaring";"town";-1
16365141;-5091057;3857;"Carrick";"town";-1
16780708;-2648329;3857;"Yeppoon";"town";-1
16348586;-3498871;3857;"Brewarrina";"town";-1
16747722;-4089396;3857;"Mittagong";"town";-1
16737465;-3781664;3857;"Merriwa";"town";-1
16196107;-4570324;3857;"Cockatoo";"town";-1
16465488;-5237319;3857;"Triabunna";"town";-1
16763911;-4108302;3857;"Robertson";"town";-1
16548868;-3970254;3857;"Canowindra";"town";-1
16303868;-4308035;3857;"Rutherglen";"town";-1
15728365;-4444307;3857;"Edenhope";"town";-1
16559278;-3885916;3857;"Cumnock";"town";-1
16149133;-4544518;3857;"Heidelberg";"town";-1
16222392;-5010504;3857;"Wynyard";"town";-1
16153303;-4536839;3857;"Greensborough";"town";-1
16685318;-4354488;3857;"Cobargo";"town";-1
16382715;-4403039;3857;"Mount Beauty";"town";-1
16765747;-3994757;3857;"Blaxland";"town";-1
16687183;-4448038;3857;"Eden";"town";-1
16164423;-4308578;3857;"Nathalia";"town";-1
17073460;-3145693;3857;"Tangalooma";"town";-1
16571449;-3907573;3857;"Molong";"town";-1
13487705;-3626411;3857;"Coolgardie";"town";-1
16552424;-3919831;3857;"Manildra";"town";-1
15662698;-4586758;3857;"Port MacDonnell";"town";-1
16385497;-3706441;3857;"Nyngan";"town";-1
16794591;-3769895;3857;"Scone";"town";-1
16479941;-2511665;3857;"Moranbah";"town";-1
17054269;-3434232;3857;"Maclean";"town";-1
16203578;-4331982;3857;"Katandra West";"town";-1
16288718;-5068621;3857;"Sheffield";"town";-1
16376754;-3050676;3857;"Morven";"town";-1
16288612;-4349752;3857;"Wangaratta";"town";-1
16391822;-5096583;3857;"Evandale";"town";-1
16364695;-5218841;3857;"Bothwell";"town";-1
16547312;-3862215;3857;"Yeoval";"town";-1
13120089;-3886832;3857;"Harrismith";"town";-1
15847843;-4263468;3857;"Hopetoun";"town";-1
16010014;-3248465;3857;"Thargomindah";"town";-1
13033811;-3833501;3857;"Pingelly";"town";-1
16985544;-3301813;3857;"Muli Muli";"town";-1
16882554;-3899708;3857;"Belmont";"town";-1
16989809;-3342258;3857;"Bonalbo";"town";-1
